name,datetime,log_temp,feelslike,log_precip,precipprob,precipcover,log_humidity,log_dew,log_windspeed,log_windgust,winddir,log_solarradiation,solarenergy,uvindex,cloudcover,log_pressure,visibility,snowdepth,severerisk,year,month,day,season_Dry,season_Wet
india,2022-10-22,4.361823927356363,77.1,0.0,0,0,4.05871738457895,4.09933210373314,2.2082744135228043,2.6026896854443837,279.2,5.362699625477305,18.2,8,2.5,6.925496960458294,1.7,0,14,2022,10,22,True,False
india,2022-10-23,4.33204826486764,74.6,0.0,0,0,4.027135812528651,4.04305126783455,1.916922612182061,2.533696813957432,275.6,5.373888553395111,18.3,8,0.0,6.9244157198752445,1.6,0,14,2022,10,23,True,False
india,2022-10-24,4.32280727501391,74.2,0.0,0,0,4.11414718951828,4.08260930600368,2.066862759472976,2.772588722239781,278.8,5.369241704884735,18.3,8,0.0,6.919782659194856,1.4,0,14,2022,10,24,True,False
india,2022-10-25,4.3267781604434035,74.4,0.0,0,0,4.001863709427935,4.036008985209137,2.424802725718295,3.005682604407159,274.2,5.376203905205108,18.5,8,0.0,6.918101571036281,1.6,0,14,2022,10,25,True,False
india,2022-10-26,4.334672938290411,75.1,0.0,0,0,4.127134385045092,4.100989104940769,1.7404661748405046,2.341805806147327,276.8,5.345677937907874,18.0,8,0.0,6.921756798617951,1.4,0,14,2022,10,26,True,False
india,2022-10-27,4.341204640153626,75.3,0.0,0,0,4.107589788972121,4.091005660956586,1.916922612182061,2.379546134130174,284.6,5.331752142634274,17.9,7,3.4,6.921855403360919,1.4,0,14,2022,10,27,True,False
india,2022-10-28,4.33204826486764,75.2,0.0,0,0,4.183575695950044,4.130354999745133,1.4816045409242156,2.322387720290225,18.6,5.315174483614459,17.3,7,0.0,6.92195399838195,1.1,0,14,2022,10,28,True,False
india,2022-10-29,4.3294166844015844,74.8,0.0,0,0,4.238444906195857,4.143134726391533,1.9021075263969205,2.4849066497880004,278.2,5.324472324024888,17.7,7,5.2,6.923037902513294,1.1,0,14,2022,10,29,True,False
india,2022-10-30,4.31748811353631,73.9,0.0,0,0,4.144720769547168,4.0943445622221,1.916922612182061,2.714694743820879,265.5,5.314190715704327,17.3,7,1.7,6.923234849830523,1.2,0,14,2022,10,30,True,False
india,2022-10-31,4.31748811353631,74.0,0.0,0,0,4.206184043977636,4.120661870539474,1.6094379124341003,2.379546134130174,250.4,5.297316866214453,17.2,7,0.8,6.922939414307177,1.1,0,14,2022,10,31,True,False
india,2022-11-01,4.3476939555933765,76.2,0.0,0,0,4.155753190350744,4.122283930911342,1.7404661748405046,2.517696472610991,143.1,5.280662431309316,16.9,7,3.0,6.922939414307177,1.0,0,14,2022,11,1,True,False
india,2022-11-02,4.33204826486764,75.2,0.0,0,0,4.185098925490565,4.135166556742356,2.517696472610991,2.772588722239781,280.9,5.291796149557771,17.1,7,0.0,6.921263629006929,1.0,0,14,2022,11,2,True,False
india,2022-11-03,4.330733340286331,75.1,0.0,0,0,4.192680462942962,4.131961425793407,1.916922612182061,2.797281334830153,268.1,5.274536837882633,16.9,7,0.7,6.92086891812752,0.8,0,14,2022,11,3,True,False
india,2022-11-04,4.3425058765115985,76.3,0.0,0,0,4.219507705176107,4.162003210695915,1.7404661748405046,2.2512917986064953,95.2,5.258016069774511,16.5,7,1.7,6.922052583682961,0.7,0,14,2022,11,4,True,False
india,2022-11-05,4.333361462692601,76.2,0.0,0,0,4.37449836825309,4.22683374526818,2.2082744135228043,2.9014215940827497,92.4,5.23750522715128,16.0,7,2.4,6.924022251446009,0.7,0,14,2022,11,5,True,False
india,2022-11-06,4.3528552573736015,77.3,0.0,0,0,4.29592393562047,4.206184043977636,2.2082744135228043,2.8791984572980396,118.4,5.14049328135447,14.7,6,18.1,6.924317367281115,0.9,0,14,2022,11,6,True,False
india,2022-11-07,4.356708826689592,76.9,0.0,0,0,4.177459468932607,4.143134726391533,1.916922612182061,2.501435951739211,66.5,5.22305488204749,16.1,7,16.9,6.923234849830523,1.1,0,14,2022,11,7,True,False
india,2022-11-08,4.3254562831854875,74.9,0.0,0,0,4.255612709818223,4.163559631243574,2.2082744135228043,2.9601050959108397,300.3,5.141078590121546,14.7,7,42.2,6.924317367281115,0.9,0,14,2022,11,8,True,False
india,2022-11-09,4.318820558770089,73.9,0.0,0,0,4.122283930911342,4.087655574071304,1.7404661748405046,2.5877640352277083,113.2,5.100475998096045,14.1,6,26.6,6.9244157198752445,1.5,0,14,2022,11,9,True,False
india,2022-11-10,4.320151230955794,74.3,0.0,0,0,4.185098925490565,4.12552017969055,2.2082744135228043,2.7013612129514133,291.8,5.155601064346442,15.0,6,30.0,6.925398714154732,1.3,0,14,2022,11,10,True,False
india,2022-11-11,4.280824129164719,71.2,0.0,0,0,4.143134726391533,4.046553898385752,2.624668592163159,3.0204248861443626,274.5,5.243861180751978,16.1,7,0.0,6.925791641468236,1.1,0,14,2022,11,11,True,False
india,2022-11-12,4.259859000699674,69.7,0.0,0,0,3.9982007016691985,3.9415818076696905,2.424802725718295,3.039749158970765,270.8,5.248601774302104,16.1,7,0.0,6.925202192585858,1.3,0,14,2022,11,12,True,False
india,2022-11-13,4.247065649239764,68.8,0.0,0,0,4.056988775678332,3.9627161197436642,2.424802725718295,3.005682604407159,274.2,5.231643233280044,16.1,7,8.6,6.923825459159632,1.3,0,14,2022,11,13,True,False
india,2022-11-14,4.298645025734831,72.3,0.0,0,0,4.034240638152395,4.007333185232471,2.066862759472976,2.8390784635086144,86.9,5.203457085524077,15.6,7,31.1,6.9244157198752445,1.5,0,14,2022,11,14,True,False
india,2022-11-15,4.28496492183075,71.5,0.0,0,0,4.055257173514054,4.014579593753238,1.916922612182061,2.714694743820879,258.2,5.1440000061636795,14.7,6,37.4,6.9242190050128025,1.5,0,14,2022,11,15,True,False
india,2022-11-16,4.249922794040544,69.1,0.0,0,0,3.9889840465642745,3.910021002757473,2.424802725718295,2.975529566236472,281.1,5.203457085524077,15.5,7,7.4,6.923431758367145,1.6,0,14,2022,11,16,True,False
india,2022-11-17,4.200204952921578,65.7,0.0,0,0,4.069026754237811,3.9180050771056933,2.517696472610991,3.131136910560194,268.8,5.216022123821206,15.9,7,1.5,6.923333308945455,1.5,0,14,2022,11,17,True,False
india,2022-11-18,4.197201947661808,65.5,0.0,0,0,4.014579593753238,3.8732821771117156,2.322387720290225,2.785011242238338,285.2,5.225208894727398,16.1,7,2.5,6.92461239604856,1.5,0,14,2022,11,18,True,False
india,2022-11-19,4.198704577546343,65.6,0.0,0,0,4.021773869387265,3.8732821771117156,1.916922612182061,2.6026896854443837,285.8,5.196284640982885,15.6,7,24.8,6.925202192585858,1.7,0,14,2022,11,19,True,False
india,2022-11-20,4.200204952921578,65.7,0.0,0,0,4.039536325727106,3.899950424193877,2.066862759472976,2.797281334830153,276.0,5.194622130209272,15.5,7,13.9,6.923727048491836,1.4,0,14,2022,11,20,True,False
india,2022-11-21,4.197201947661808,65.5,0.0,0,0,4.087655574071304,3.912023005428146,2.322387720290225,2.9856819377004897,266.3,5.1973914479580765,15.4,7,2.9,6.922742408790385,1.7,0,14,2022,11,21,True,False
